unidade_analise,id_equipamento,nome_oficial,tipo,complexo,bloco_concessao,concessionaria,categoria_tarifaria,destino_gratuidade_hipossuficiencia,anel,distancia_interna_m,distancia_externa_m,area_anel_m2,quadras_intersectadas,quadras_com_pgv,quadras_sem_pgv,registros_face_pgv,cobertura_area_quadras_pgv_pct,cobertura_area_anel_por_quadras_pct,vm2t_faces_mediana,vm2t_faces_q1,vm2t_faces_q3,vm2t_faces_min,vm2t_faces_max,vm2t_mediana_das_quadras,vm2t_media_quadras_ponderada_area,nome_geosampa,endereco_geosampa,bairro_geosampa,cep_geosampa,feature_ids_geosampa,numero_feicoes,classificacao_preliminar,status_validacao
cemiterio_particular_candidato,priv_geosampa_12,Cemitério Israelita do Butantã,cemiterio_particular_candidato,,,,,,0-250m,0,250,819401.28,30,30,0,118,100.0,88.66,978.0,800.25,1043.5,264.0,1414.0,985.5,882.78,ISRAELITA DO BUTANTÃ,"AV. ENG. HEITOR ANTONIO EIRAS GARCIA, 5530",JARDIM-EDUCANDARIO,05564-100,equipamento_cemiterio.160017,1,particular_associativo_religioso_ou_nao_concessionado,pendente
cemiterio_particular_candidato,priv_geosampa_12,Cemitério Israelita do Butantã,cemiterio_particular_candidato,,,,,,250-500m,250,500,1189617.26,62,61,1,238,99.72,88.52,978.5,909.0,1070.25,264.0,1531.0,981.0,909.73,ISRAELITA DO BUTANTÃ,"AV. ENG. HEITOR ANTONIO EIRAS GARCIA, 5530",JARDIM-EDUCANDARIO,05564-100,equipamento_cemiterio.160017,1,particular_associativo_religioso_ou_nao_concessionado,pendente
cemiterio_particular_candidato,priv_geosampa_12,Cemitério Israelita do Butantã,cemiterio_particular_candidato,,,,,,500-1000m,500,1000,3548607.23,183,176,7,684,95.29,74.22,1005.0,851.0,1288.0,251.0,1842.0,993.5,935.69,ISRAELITA DO BUTANTÃ,"AV. ENG. HEITOR ANTONIO EIRAS GARCIA, 5530",JARDIM-EDUCANDARIO,05564-100,equipamento_cemiterio.160017,1,particular_associativo_religioso_ou_nao_concessionado,pendente
cemiterio_particular_candidato,priv_geosampa_13,Cemitério Jardim do Pêssego,cemiterio_particular_candidato,,,,,,0-250m,0,250,422592.79,22,21,1,53,92.35,94.15,705.0,692.0,759.0,690.0,859.0,705.0,758.16,JARDIM DO PÊSSEGO,"RUA IOSOSUKE OKAUE, 911",ITAQUERA,08265-150,equipamento_cemiterio.160036,1,particular_associativo_religioso_ou_nao_concessionado,pendente
cemiterio_particular_candidato,priv_geosampa_13,Cemitério Jardim do Pêssego,cemiterio_particular_candidato,,,,,,250-500m,250,500,812645.84,33,31,2,78,83.74,92.65,741.0,695.25,759.0,690.0,826.0,730.0,766.32,JARDIM DO PÊSSEGO,"RUA IOSOSUKE OKAUE, 911",ITAQUERA,08265-150,equipamento_cemiterio.160036,1,particular_associativo_religioso_ou_nao_concessionado,pendente
cemiterio_particular_candidato,priv_geosampa_13,Cemitério Jardim do Pêssego,cemiterio_particular_candidato,,,,,,500-1000m,500,1000,2801356.22,46,40,6,100,88.73,93.81,754.0,700.25,767.25,525.0,1161.0,753.0,811.1,JARDIM DO PÊSSEGO,"RUA IOSOSUKE OKAUE, 911",ITAQUERA,08265-150,equipamento_cemiterio.160036,1,particular_associativo_religioso_ou_nao_concessionado,pendente
cemiterio_particular_candidato,priv_geosampa_14,Cemitério Memorial Parque das Cerejeiras,cemiterio_particular_candidato,,,,,,0-250m,0,250,562784.45,4,0,4,0,0.0,95.03,,,,,,,,MEMORIAL PARQUE DAS CEREJEIRAS,"AV. PARQUE DAS CEREJEIRAS, 300",JARDIM ANGELA,04966-180,equipamento_cemiterio.160003,1,particular_associativo_religioso_ou_nao_concessionado,pendente
cemiterio_particular_candidato,priv_geosampa_14,Cemitério Memorial Parque das Cerejeiras,cemiterio_particular_candidato,,,,,,250-500m,250,500,946707.41,22,13,9,35,11.09,93.71,342.0,319.5,361.0,266.0,690.0,342.0,371.16,MEMORIAL PARQUE DAS CEREJEIRAS,"AV. PARQUE DAS CEREJEIRAS, 300",JARDIM ANGELA,04966-180,equipamento_cemiterio.160003,1,particular_associativo_religioso_ou_nao_concessionado,pendente
cemiterio_particular_candidato,priv_geosampa_14,Cemitério Memorial Parque das Cerejeiras,cemiterio_particular_candidato,,,,,,500-1000m,500,1000,3064657.42,100,77,23,234,37.92,88.46,324.0,284.0,482.0,142.0,690.0,300.0,382.13,MEMORIAL PARQUE DAS CEREJEIRAS,"AV. PARQUE DAS CEREJEIRAS, 300",JARDIM ANGELA,04966-180,equipamento_cemiterio.160003,1,particular_associativo_religioso_ou_nao_concessionado,pendente
cemiterio_particular_candidato,priv_geosampa_15,Cemitério Parque Cemitério Gethsêmani Anhanguera,cemiterio_particular_candidato,,,,,,0-250m,0,250,611478.54,32,29,3,84,72.18,90.3,644.5,534.5,909.25,412.0,1015.0,576.5,825.08,PARQUE CEMITÉRIO GETHSÊMANI ANHANGUERA,"RODOVIA ANHANGUERA, KM 23,4 S/N",VILA SULINA,05276-000,equipamento_cemiterio.160005,1,particular_associativo_religioso_ou_nao_concessionado,pendente
